Country,GDP per capita (USD)
Afghanistan,507.29
Albania,5323.19
Algeria,3898.01
Angola,2967.96
Antigua and Barbuda,17195.46
Argentina,9890.31
Armenia,4604.77
Aruba,25744.56
Australia,54348.23
Austria,50380.28
Azerbaijan,4813.67
The Bahamas,35664.03
Bahrain,25997.58
Bangladesh,1816.04
Barbados,18139.48
Belarus,6658.06
Belgium,46236.67
Belize,4497.99
Benin,1218.21
Bhutan,3356.78
Bolivia,3566.42
Bosnia and Herzegovina,6015.16
Botswana,7772.67
Brazil,8751.38
Brunei Darussalam,29314.11
Bulgaria,9772.15
Burkina Faso,774.695
Burundi,269.82599999999996
Cabo Verde,3601.68
Cambodia,1620.47
Cameroon,1523.66
Canada,46271.72
Central African Republic,479.86300000000006
Chad,685.677
Chile,14772.11
China,10286.58
Colombia,6423.18
Comoros,1362.42
Democratic Republic of the Congo,508.95300000000003
Republic of Congo,2745.8
Costa Rica,12243.84
Côte d'Ivoire,2229.56
Croatia,14853.02
Cyprus,28049.01
Czech Republic,23538.52
Denmark,59770.32
Djibouti,3103.02
Dominica,8305.39
Dominican Republic,8595.61
Ecuador,6221.67
Egypt,3043.64
El Salvador,4186.96
Equatorial Guinea,8689.95
Eritrea,566.731
Estonia,23757.62
Eswatini,4113.89
Ethiopia,960.765
Fiji,6043.01
Finland,48809.55
France,41896.58
Gabon,8111.34
The Gambia,774.206
Georgia,4765.09
Germany,46472.62
Ghana,2220.82
Greece,19569.53
Grenada,11193.46
Guatemala,4354.34
Guinea,1012.5
Guinea-Bissau,810.558
Guyana,6594.38
Haiti,772.863
Honduras,2550.67
Hong Kong SAR,48626.58
Hungary,16469.61
Iceland,67857.18
India,2097.78
Indonesia,4196.67
Islamic Republic of Iran,7009.76
Iraq,5883.68
Ireland,80504.4
Israel,43603.01
Italy,33159.07
Jamaica,5826.09
Japan,40255.94
Jordan,4425.69
Kazakhstan,9750.17
Kenya,2004.42
Kiribati,1672.38
Korea,31846.22
Kosovo,4428.7
Kuwait,28499.79
Kyrgyz Republic,1323.47
Lao P.D.R.,2660.75
Latvia,17771.63
Lebanon,7661.07
Lesotho,1185.4
Liberia,693.818
Libya,6055.46
Lithuania,19482.14
Luxembourg,115838.77
Macao SAR,79251.49
Madagascar,525.2959999999999
Malawi,377.72
Malaysia,11193.02
Maldives,15504.71
Mali,907.252
Malta,30374.22
Marshall Islands,4325.68
Mauritania,1872.59
Mauritius,11090.43
Mexico,9862.44
Micronesia,4044.88
Moldova,4458.19
Mongolia,4201.82
Montenegro,8825.69
Morocco,3331.76
Mozambique,487.68699999999995
Myanmar,1299.22
Namibia,5072.37
Nauru,9365.1
Nepal,1078.56
Netherlands,52646.19
New Zealand,41666.64
Nicaragua,1920.29
Niger,553.9159999999999
Nigeria,2229.85
North Macedonia,6109.03
Norway,75294.43
Oman,18198.31
Pakistan,1348.68
Palau,16064.02
Panama,15834.04
Papua New Guinea,2884.33
Paraguay,5233.39
Peru,6957.86
Philippines,3511.94
Poland,15600.66
Portugal,23132.46
Puerto Rico,32595.17
Qatar,62918.85
Romania,12887.06
Russia,11601.42
Rwanda,816.3580000000001
Samoa,4230.59
San Marino,47621.71
São Tomé and Príncipe,1980.35
Saudi Arabia,23266.49
Senegal,1445.89
Serbia,7382.39
Seychelles,17126.51
Sierra Leone,539.122
Singapore,65233.88
Slovak Republic,19344.17
Slovenia,25992.07
Solomon Islands,2493.52
Somalia,
South Africa,5977.95
South Sudan,368.839
Spain,29993.06
Sri Lanka,3852.48
St. Kitts and Nevis,18853.68
St. Lucia,11803.1
St. Vincent and the Grenadines,7463.97
Sudan,771.814
Suriname,6191.28
Sweden,51404.43
Switzerland,82483.93
Syria,
Taiwan Province of China,25873.37
Tajikistan,873.4989999999999
Tanzania,1079.68
Thailand,7806.96
Timor-Leste,1252.42
Togo,675.304
Tonga,5150.55
Trinidad and Tobago,17276.43
Tunisia,3292.59
Turkey,9150.86
Turkmenistan,7723.68
Tuvalu,4308.85
Uganda,916.1560000000001
Ukraine,3706.77
United Arab Emirates,39179.88
United Kingdom,42378.61
United States,65253.52
Uruguay,16110.74
Uzbekistan,1741.7
Vanuatu,3186.2
Venezuela,2299.31
Vietnam,3416.23
West Bank and Gaza,3426.21
Yemen,713.072
Zambia,1318.47
Zimbabwe,1254.49
